Logged,Captured,Device ID,Stats,Uptime,CPM0,CPM1,Latitude,Longitude,Altitude,Bat V,Bat SOC,Bat I,SNR,Temp C,Humid %,Press Pa,PMS PM 1.0,PMS PM 2.5,PMS PM 10.0,PMS # 0.3,PMS # 0.5,PMS # 1.0,PMS # 2.5,PMS # 5.0,PMS # 10.0,PMS # Secs,OPC PM 1.0,OPC PM 2.5,OPC PM 10.0,OPC # 0.38,OPC # 0.54,OPC # 1.0,OPC # 2.1,OPC # 5.0,OPC # 10.0,OPC # Secs
2016-11-07 01:41:55,2016-11-07T01:41:53Z,2043926292,"uptime_min:1 version:1.2.1450 config:0.0.0.15.0.511.0",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 01:51:57,2016-11-07T01:51:54Z,2043926292,,,,,42.565041,-70.783829,34,3.9400,94.00,3.080,,23.67,34.22,1026.75,0,0,0,4677,1242,49,2,2,0,180,0.172131,0.254449,0.525986,215,64,25,15,1,0,180
2016-11-07 02:06:57,2016-11-07T02:06:55Z,2043926292,,,36,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 02:21:57,2016-11-07T02:21:55Z,2043926292,,,37,,42.565041,-70.783829,34,3.9372,93.72,3.170,,22.36,36.20,1027.10,0,0,0,4014,848,91,0,0,0,180,0.190286,0.286242,0.662405,163,77,24,13,2,0,180
2016-11-07 02:36:57,2016-11-07T02:36:55Z,2043926292,,,37,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 02:51:57,2016-11-07T02:51:55Z,2043926292,,,34,,42.565041,-70.783829,34,3.9356,93.56,3.240,,22.05,36.87,1027.31,0,0,0,3168,861,10,0,0,0,180,0.110882,0.137921,0.142956,144,57,9,2,0,0,180
2016-11-07 03:06:57,2016-11-07T03:06:55Z,2043926292,,,38,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 03:21:57,2016-11-07T03:21:55Z,2043926292,,,32,,42.565041,-70.783829,34,3.9328,93.28,2.940,,21.87,37.15,1027.29,0,0,0,2280,653,81,21,17,8,180,0.105032,0.125525,0.126232,141,51,4,0,0,0,180
2016-11-07 03:36:57,2016-11-07T03:36:55Z,2043926292,,,31,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 03:51:58,2016-11-07T03:51:55Z,2043926292,,,38,,42.565041,-70.783829,34,3.9320,93.20,3.040,,21.92,37.39,1027.50,0,0,0,2568,644,54,24,6,0,180,0.127391,0.150512,0.151415,167,43,7,0,0,0,180
2016-11-07 04:06:57,2016-11-07T04:06:55Z,2043926292,,,35,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 04:21:57,2016-11-07T04:21:55Z,2043926292,,,34,,42.565041,-70.783829,34,3.9280,92.80,3.200,,22.03,37.04,1027.60,0,0,0,3696,999,98,0,0,0,180,0.131894,0.162571,0.166794,138,58,10,1,0,0,180
2016-11-07 04:36:57,2016-11-07T04:36:54Z,2043926292,,,33,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 04:51:57,2016-11-07T04:51:55Z,2043926292,,,37,,42.565041,-70.783829,34,3.9280,92.80,3.320,,21.96,36.67,1027.55,0,0,0,1824,488,60,18,0,0,180,0.129861,0.159420,0.160857,129,57,9,0,0,0,180
2016-11-07 05:06:57,2016-11-07T05:06:55Z,2043926292,,,37,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 05:21:57,2016-11-07T05:21:55Z,2043926292,,,35,,42.565041,-70.783829,34,3.9248,92.48,3.390,,22.07,36.04,1027.74,0,0,0,1518,423,20,0,0,0,180,0.133048,0.168435,0.169831,116,61,12,0,0,0,180
2016-11-07 05:36:57,2016-11-07T05:36:54Z,2043926292,,,34,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 05:51:57,2016-11-07T05:51:55Z,2043926292,,,38,,42.565041,-70.783829,34,3.9232,92.32,3.290,,22.01,36.10,1028.01,0,0,0,2217,575,20,0,0,0,180,0.110922,0.139812,0.140712,104,68,8,0,0,0,180
2016-11-07 06:06:57,2016-11-07T06:06:54Z,2043926292,,,32,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 06:21:57,2016-11-07T06:21:55Z,2043926292,,,35,,42.565041,-70.783829,34,3.9204,92.04,3.390,,22.04,35.96,1028.21,0,0,0,1695,496,38,9,9,0,180,0.106091,0.134731,0.135708,105,64,11,0,0,0,180
2016-11-07 06:36:57,2016-11-07T06:36:54Z,2043926292,,,35,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 06:51:57,2016-11-07T06:51:55Z,2043926292,,,39,,42.565041,-70.783829,34,3.9184,91.84,3.530,,22.00,35.85,1028.38,0,0,0,1599,428,52,0,0,0,180,0.137575,0.191924,0.202277,104,75,19,3,0,0,180
2016-11-07 07:06:57,2016-11-07T07:06:55Z,2043926292,,,40,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 07:21:57,2016-11-07T07:21:55Z,2043926292,,,32,,42.565041,-70.783829,34,3.9160,91.60,3.570,,21.96,35.36,1028.60,0,0,0,1221,284,32,0,0,0,180,0.142287,0.182773,0.184522,110,65,11,0,0,0,180
2016-11-07 07:36:59,2016-11-07T07:36:55Z,2043926292,,,32,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 07:51:57,2016-11-07T07:51:55Z,2043926292,,,42,,42.565041,-70.783829,34,3.9120,91.20,3.190,,22.01,35.24,1028.64,0,0,0,1194,286,14,0,0,0,180,0.125117,0.157267,0.158313,107,64,7,0,0,0,180
2016-11-07 08:06:57,2016-11-07T08:06:55Z,2043926292,,,35,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-07 08:21:57,2016-11-07T08:21:55Z,2043926292,,,33,,42.565041,-70.783829,34,3.9088,90.88,3.400,,22.03,35.00,1028.80,0,0,0,1314,323,27,0,0,0,180,0.147178,0.186985,0.188459,108,60,12,0,0,0,180
2016-11-07 08:36:57,2016-11-07T08:36:55Z,2043926292,,,38,,42.565041,-70.783829,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
